#
# Argon-Krypton-Neon (ArKrNe) Spectral Lines
#
# NOTES: The relative intensities retrieved from NIST Atomic Spectra Database
#        were adjusted for the SALT calsys intensities OR TO GET GOOD FIT.
#        The intesity of a line in chip gap, on edge of chip gap or edge of
#        frame is set as zero. Lines with zero intensity will not be fitted.
#
# ---------------------------------------------------------------------------- #
#   Lambda   Intensity   Comment
# ---------------------------------------------------------------------------- #
#
  7500.000      0.0000   dummy line to improve first real line
#
  7505.935      0.0001   Ar
  7516.721      0.0001   Ar
  7537.849      0.0001   Ne
  7546.121      0.0001   Ne
  7589.503      0.0001   Kr
  7603.638      0.0001   Kr
  7637.208      0.0001   Ar
  7687.361      0.0001   Kr
  7696.658      0.0001   Kr
  7725.887      0.0001   Ar
  7726.333      0.0001   Ar
  7841.209      0.0001   Ne
  7856.984      0.0001   Kr
  7945.365      0.0001   Ne
  7950.362      0.0001   Ar
  8008.359      0.0001   Ar
  8016.990      0.0001   Ar
  8061.721      0.0001   Kr
#
# START: GA25.0_CA50.0
#
  8105.921      0.0232   Ar
  8106.595      0.0000   *Kr close to stronger Ar 8105.921, don't plot
  8115.132      0.0518   Kr
  8117.542      0.0000   *Ar close to stronger Kr 8115.132, don't plot
  8138.643      0.0000   Ne too weak
  8192.308      0.0251   Kr
  8261.650      0.0000   *Ne blended, don't plot
  8265.514      0.0000   *Kr blended, don't plot
  8266.794      0.0393   Ar
  8268.349      0.0000   *Ne close to stronger Ar 8266.794, don't plot
  8283.328      0.0061   Kr
  8300.391      0.0472   Kr
  8302.606      0.0000   *Ne close to stronger Kr 8300.391, don't plot
  8368.046      0.0000   Ne too weak
  8379.909      0.0466   Ne
  8410.521      0.0376   Ar
  8426.963      0.0478   Ar
  8465.682      0.0000   Ne too weak
  8486.774      0.0000   Ne too weak
  8497.693      0.0362   Ne
  8500.540      0.0000   *Kr close to stronger Ne 8497.693, don't plot
  8511.211      0.0187   Kr
  8523.783      0.0510   Ar
  8547.043      0.0000   Ne too weak
  8573.708      0.0000   Ne too weak
  8593.618      0.0198   Ne
  8637.019      0.0179   Ne
  8649.416      0.0001   *Ne close to stronger Ne 8656.760, don't plot
  8656.760      0.0507   Ne
  8670.325      0.0160   Ar
  8681.877      0.0000   *Ne blended, don't plot
  8684.306      0.0000   Ne blended
  8706.503      0.0000   Ne too weak
  8774.066      0.0000   *Ne close to stronger Kr 8779.161, don't plot
#
# START: GA27.0_CA54.0
#
  8779.161      0.6750   Kr
# 8783.034      0.0000   Ne close to stronger Kr 8779.161
  8856.298      0.0907   Ne
  8868.191      0.0557   Ne
  8921.950      0.0299   Ne
  8931.145      0.8877   Kr
# 8991.024      0.0000   Ne too weak
  9125.471      1.0000   Ar
  9151.183      0.0753   Ne
  9197.161      0.0070   Ar
  9204.284      0.0589   Ne
# 9222.590      0.0000   Ne close to stronger Ar 9227.030
  9227.030      0.3687   Ar
# 9278.064      0.0000   Ne too weak
  9294.081      0.0064   Ar
  9303.405      0.0537   Ne
  9316.529      0.0208   Ne
  9329.066      0.0514   Ne
# 9354.800      0.0000   Kr close to stronger Ar 9356.787
  9356.787      0.0370   Ar
# 9364.670      0.0000   Kr too weak
  9375.880      0.0101   Ne
  9427.966      0.0405   Ne
  9461.806      0.0247   Ne
  9489.285      0.0282   Ne
  9536.779      0.0479   Ne
  9550.024      0.0240   Ne
#
# START: GA29.5_CA59.0
#
  9660.435      0.5556   Ar
  9668.071      0.0448   Ne
#
# END: GA25.0_CA50.0
#
  9706.880      0.0074   Kr
  9754.435      1.0000   Kr
  9787.186      0.1225   Ar
  9858.940      0.0450   Kr
 10054.820      0.0031   Ar
#10298.238      0.0000   Ne close to stronger Kr 10299.750
 10299.750      0.0057   Kr
#
# END: GA27.0_CA54.0
#
 10335.550      0.0000   Ar too weak
 10363.210      0.0075   Kr
 10472.923      0.2181   Ar
 10480.905      0.0168   Ar
 10509.380      0.0000   Ar too weak
 10565.303      0.0449   Ne
 10595.940      0.0107   Kr
 10623.574      0.0044   Ne
 10676.489      0.0776   Ar
 10684.699      0.0095   Ar
 10736.810      0.0000   Ar too weak
 10769.036      0.0000   Ne too weak
 10783.484      0.0000   Ne too weak
 10801.001      0.0261   Ne
#10809.318      0.0000   Ne close to stronger 10801.001
#10811.089      0.0000   Ne blended
#10817.717      0.0000   Ne close to stronger 10822.783
 10822.783      0.0008   Ne
 10847.448      0.0409   Ne
#
# START: GA33.5_CA67.0
#
 10877.880      0.0000   *Kr close to edge, don't plot
 10883.900      0.0182   Ar
#10889.259      0.0000   Ne blended
#10891.374      0.0000   Ne blended
#10894.134      0.0000   Ne blended
 10895.300      0.0000   *Ar too weak, don't plot
 10953.725      0.0142   Ar
 11023.898      0.0000   Ne too weak
 11052.748      0.0000   Ne too weak
 11081.903      0.0458   Ar
 11109.500      0.0000   Ar
#
# END: GA29.5_CA59.0
#
 11146.072      0.3271   Ne
 11163.270      0.0063   Ne
 11180.586      0.6335   Ne
 11190.170      0.0187   Kr
 11217.650      0.0017   Kr
 11260.787      0.0696   Kr
#11262.240      0.0000   Kr close to stronger 11260.787
 11289.672      0.0043   Kr
 11296.057      0.0000   *Ne too weak, don't plot
 11306.983      0.0052   Ne
 11369.784      0.0030   Ne
 11393.552      0.1382   Ne
 11396.823      0.0436   *Ar close to stronger Ne 11393.552, don't plot
 11412.258      0.0984   Ne
 11444.965      0.0449   Ar
 11460.614      0.0678   Kr
 11470.685      0.0153   Ar
 11491.254      0.1887   Ar
 11525.900      1.0000   Ne
 11539.503      0.1176   Ne
 11583.616      0.0000   Ar too weak
 11604.713      0.0000   Ne 'bad' fit
 11617.260      0.1211   Ne
 11671.904      0.1302   Ar
 11691.202      0.0321   Ne
 11722.696      0.0258   Ar
 11736.447      0.0124   Ar
 11770.014      0.1276   Ne
 11792.271      0.1117   Ne
#11795.640      0.0000   Kr close to stronger Ne 11792.271
 11822.614      0.4383   Kr
 11887.700      0.0000   Ar blended
 11899.900      0.0055   Ar
 11946.571      0.0345   Ar
#
# START: GA37.0_CA74.0
#
 11988.194      0.2365   Ne
 12000.385      0.2597   Kr
 12029.939      0.0000   Ar too weak
 12069.636      0.7598   Ne
 12080.520      0.0848   Kr
 12115.641      0.3540   Ar
 12121.110      0.0891   *Kr close to stronger Ar 12115.641, don't show
 12126.870      0.0538   Kr
 12143.060      0.1831   Ar
 12154.900      0.0150   Ar
 12160.170      0.0070   *Kr close to stronger Ar 12154.900, don't show
 12207.875      0.8410   Kr
 12232.750      0.0000   Kr too weak
 12243.910      0.0080   Kr
 12324.450      0.0299   Kr
#
# END: GA33.5_CA67.0
#
 12346.770      0.1832   Ar
 12359.199      0.0651   Ar
 12406.221      0.6729   Ar
 12442.724      1.0000   Ar
 12459.530      0.4352   Ar
#12462.799      0.0000   Ne close to stronger Ar 12459.530
#12490.148      0.0000   Ne close to stronger Ar 12491.080
 12491.080      0.9780   Ar
 12557.759      0.0173   Ar
#12574.445      0.0000   Ne blended
 12588.045      0.0000   Ne blended
#12590.869      0.0000   Ne blended
 12598.451      0.0954   Ne
#12601.330      0.0000   Kr close to stronger Ne 12598.451
 12607.626      0.0957   Ne
#12621.121      0.0000   Ne close to stronger Ar 12625.072
 12625.072      0.0254   Ar
#12643.775      0.0000   Ne close to stronger Ne 12646.198
 12646.198      0.0815   Ne
 12654.443      0.0388   Ne
 12661.809      0.0435   Ne
#12687.003      0.0000   Ne close to stronger Ne 12692.675
 12692.675      0.2700   Ne
 12705.756      0.3485   Ar
#12722.276      0.0000   Ne too weak
 12736.901      0.1212   Ar
#12749.713      0.0000   Ne blended
 12749.719      0.1366   Ar
#12752.612      0.0000   Ne blended
#12756.211      0.0000   Ne blended
#12759.140      0.0000   Ne blended
#12763.440      0.0000   Ne blended
 12773.018      0.0682   Ne
 12786.020      0.1239   Kr
 12806.241      0.4477   Ar
 12828.590      0.0164   Kr
 12865.410      0.1407   Kr
 12882.260      0.7603   Kr
 12915.546      0.3193   Ne
 12936.733      0.1636   Ar
 12960.203      0.9524   Ar
 12988.870      0.0317   Kr
 13011.822      0.3448   Ar
 13025.970      0.0517   Kr
#
# START: GA41.0_CA82.0
#
 13149.041      0.0000   Ne too weak
 13181.015      0.4524   Kr
 13193.726      0.0000   Kr too weak
#13214.280      0.0000   Kr too weak
 13217.600      0.3426   Ar
 13222.858      0.2542   *Ne close to stronger Ar 13217.600, don't show
 13231.725      0.3196   Ar
 13244.310      0.0467   Kr
 13276.270      0.7013   Ar
 13305.950      0.0240   Ar
#13307.940      0.0000   Kr close to stronger Ar 13305.950
 13316.851      0.5763   Ar
 13333.830      0.0192   Ar
 13341.530      0.0413   Kr
#13343.362      0.0000   Ne too weak
#
# END: GA37.0_CA74.0
#
 13370.766      1.0000   Ar
#13392.952      0.0000   Ne too weak
 13410.253      0.1114   Ar
 13503.100      0.0000   *Ar close to stronger Ar 13507.884
 13507.884      0.8464   Ar
#13530.772      0.0000   Ne too weak
 13547.908      0.0194   Ar
 13577.329      0.0304   Ar
#13588.803      0.0000   Ne too weak
 13603.052      0.0454   Ar
 13626.141      0.5242   Kr
#13626.384      0.0000   Ar close to stronger Kr 13626.141
 13637.949      0.7768   Kr
 13662.120      0.0899   Kr
 13682.290      0.1225   Ar
 13714.770      0.0223   Kr
 13722.328      0.6402   Ar
