#
# Argon (Ar) Spectral Lines
#
# NOTES: The relative intensities retrieved from NIST Atomic Spectra Database
#        were adjusted for the SALT calsys intensities OR TO GET GOOD FIT.
#        The intesity of a line in chip gap, on edge of chip gap or edge of
#        frame is set as zero. Lines with zero intensity will not be fitted.
#
# ---------------------------------------------------------------------------- #
#   Lambda   Intensity   Comment
# ---------------------------------------------------------------------------- #
#
  7500.000      0.0000   dummy line to improve first real line
#
  7505.935      0.0001   Ar
  7516.721      0.0001   Ar
  7637.208      0.0001   Ar
  7725.887      0.0001   Ar
  7726.333      0.0001   Ar
  7950.362      0.0001   Ar
  8008.359      0.0001   Ar
  8016.990      0.0001   Ar
#
# START: GA25.0_CA50.0
#
  8105.921      0.0137   Ar
  8117.542      0.0332   Ar
  8266.794      0.0237   Ar
  8410.521      0.0365   Ar
  8426.963      0.0471   Ar
  8523.783      0.0493   Ar
  8670.325      0.0149   Ar
#
# START: GA27.0_CA54.0
#
  9125.471      1.0000   Ar
  9197.161      0.0057   Ar
  9227.030      0.3470   Ar
  9294.081      0.0055   Ar
  9356.787      0.0323   Ar
#
# START: GA29.5_CA59.0
#
  9660.435      1.0000   Ar
#
# END: GA25.0_CA50.0
#
  9787.186      0.2088   Ar
 10054.820      0.0000   Ar too weak
#
# END: GA27.0_CA54.0
#
 10335.550      0.0036   Ar
 10472.923      0.3926   Ar
 10480.905      0.0294   Ar
 10509.380      0.0042   Ar
 10676.489      0.1377   Ar
 10684.699      0.0199   Ar
 10736.810      0.0013   Ar
 10883.900      0.0079   Ar
 10895.300      0.0005   Ar
#
# START: GA33.5_CA67.0
#
 10883.900      0.0653   Ar
 10895.300      0.0109   Ar
 10953.725      0.0499   Ar
 11081.903      0.1605   Ar
 11109.500      0.0233   Ar
#
# END: GA29.5_CA59.0
#
 11396.823      0.1017   Ar
 11444.965      0.1553   Ar
 11470.685      0.0506   Ar
 11491.254      0.6769   Ar
 11583.616      0.0123   Ar
 11671.904      0.4506   Ar
 11722.696      0.0879   Ar
 11736.447      0.0422   Ar
 11887.700      0.0000   Ar
 11899.900      0.0176   Ar
 11946.571      0.1214   Ar
#
# START: GA37.0_CA74.0
#
 12029.939      0.0187   Ar
 12115.641      0.3653   Ar
 12143.060      0.1878   Ar
 12154.900      0.0122   Ar
#
# END: GA33.5_CA67.0
#
 12346.770      0.1882   Ar
 12359.199      0.0683   Ar
 12406.221      0.6298   Ar
 12442.724      1.0000   Ar
 12459.530      0.4363   Ar
 12491.080      0.9708   Ar
 12557.759      0.0131   Ar
 12625.072      0.0173   Ar
 12641.940      0.0094   ?
 12705.756      0.3529   Ar
 12736.901      0.1141   Ar
 12749.719      0.0740   Ar
 12806.241      0.4599   Ar
 12936.733      0.1630   Ar
 12960.203      0.9875   Ar
 13011.822      0.3542   Ar
#
# START: GA41.0_CA82.0
#
 13217.600      0.3473   Ar
 13231.725      0.3248   Ar
 13276.270      0.7936   Ar
 13305.950      0.0171   Ar
 13316.851      0.5859   Ar
 13333.830      0.0173   Ar
#
# END: GA37.0_CA74.0
#
 13370.766      1.0000   Ar
 13410.253      0.1121   Ar
 13503.100      0.0000   *Ar close to stronger Ar 13507.884
 13507.884      0.8729   Ar
 13547.908      0.0172   Ar
 13577.329      0.0315   Ar
 13603.052      0.0000   Ar
 13626.384      0.2737   Ar
 13682.290      0.1244   Ar
 13722.328      0.7078   Ar
 13829.495      0.0000   *Ar blended and weak
 13832.100      0.0059   Ar
 13911.280      0.0000   *Ar blended and weak
 13914.400      0.0153   Ar
 14097.493      0.1031   Ar
#
# START: GA45.0_CA90.0
#
 14253.100      0.0728   Ar
 14260.800      0.0000   *Ar weak
#
# END: GA41.0_CA82.0
#
 14599.723      0.1398   Ar
 14600.461      0.0000   *Ar use Ar 14599.723
#14638.414      0.0000   Ar
#14638.504      0.0000   Ar
 14654.300      0.2424   Ar
 14697.400      0.0533   Ar
 14743.167      0.0747   Ar
 14789.421      0.0000   *Ar use Ar 14790.105
 14790.105      0.0217   Ar
#~15012.500      0.0000   ? ***
 15034.750      0.0002   Ar FIT 2ND LAST
 15050.610      0.0001   Ar FIT LAST!
 15176.840      0.2637   Ar
#~15274.200      0.0000   ? ***
 15306.062      0.3628   Ar
 15333.530      0.1353   Ar
 15353.500      0.0773   Ar
 15357.323      0.0000   *Ar close to stronger Ar 15353.500
 15406.849      0.0685   Ar
#~15452.400      0.0000   ? ***
#
# END: GA45.0_CA90.0
# START: GA50.0_CA100.0
#
 15559.710      0.0001   Ar                                     NIST & NIRSPEC
#15652.083      0.0001   ArII
 15739.208      0.0001   Ar                                     NIST & NIRSPEC
 15780.924      0.0001   Ar                                     NIST & NIRSPEC
 15821.099      0.0001   Ar                                     NIST & NIRSPEC
 15887.510      0.0001   Ar                                     NIRSPEC only
#15887.600      0.0001   Ar
 15904.031      0.0001   Ar                                     NIST & NIRSPEC
#15940.710      0.0001   ArII
 15993.860      0.0001   Ar                                     NIST & NIRSPEC
#16109.419      0.0001   ArII
 16127.061      0.0001   Ar                                     NIST & NIRSPEC
#16156.821      0.0001   ArII
 16184.443      0.0001   Ar                                     NIST & NIRSPEC
 16268.513      0.0001   Ar                                     NIST & NIRSPEC
#16281.765      0.0001   ArII
#16291.016      0.0001   ArII
#16315.918      0.0001   ArII
#16367.090      0.0001   ArII
#16421.239      0.0001   ArII
 16441.065      0.0001   Ar                                     NIST & NIRSPEC
#16474.900      0.0000   ArII
#16498.577      0.0001   ArII
 16524.370      0.0001   Ar                                     NIST & NIRSPEC
 16553.828      0.0001   Ar                                     NIST & NIRSPEC
#16554.921      0.0001   Ar use Ar 16553.828                    NIST & NIRSPEC
#16564.980      0.0001   ArII
#16657.960      0.0001   ArII
#
# END: GA50.0_CA100.0
#
 16744.651      0.0001   Ar
 16945.210      0.0001   Ar
#
 17000.000      0.0000   dummy line to improve last real line
# ---------------------------------------------------------------------------- #
