#
# Krypton (Kr) Spectral Lines
#
# NOTES: The relative intensities retrieved from NIST Atomic Spectra Database
#        were adjusted for the SALT calsys intensities OR TO GET GOOD FIT.
#        The intesity of a line in chip gap, on edge of chip gap or edge of
#        frame is set as zero. Lines with zero intensity will not be fitted.
#
# ---------------------------------------------------------------------------- #
#   Lambda   Intensity   Comment
# ---------------------------------------------------------------------------- #
#
  7500.000      0.0000   dummy line to improve first real line
#
  7589.503      0.0001   Kr
  7603.638      0.0001   Kr
  7687.361      0.0001   Kr
  7696.658      0.0001   Kr
  7856.984      0.0001   Kr
  8061.721      0.0001   Kr
#
# START: GA25.0_CA50.0
#
  8106.595      0.0642   Kr
  8115.132      0.2320   Kr
  8192.308      0.1232   Kr
  8265.514      0.0000   Kr blended
  8283.328      0.0417   Kr
  8300.391      0.2835   Kr
  8500.540      0.0000   Kr weak
  8511.211      0.0921   Kr
#
# START: GA27.0_CA54.0
#
  8779.161      0.7118   Kr
  8931.145      1.0000   Kr
  9354.800      0.0048   Kr
  9364.670      0.0060   Kr
#
# END: GA25.0_CA50.0
# START: GA29.5_CA59.0
#
  9706.880      0.0069   Kr
  9754.435      1.0000   Kr
  9858.940      0.0588   Kr
 10299.750      0.0045   Kr
#
# END: GA27.0_CA54.0
#
 10363.210      0.0077   Kr
 10595.940      0.0091   Kr
#
# START: GA33.5_CA67.0
#
 10877.880      0.0508   Kr
 11190.170      0.0391   Kr
 11217.650      0.0042   Kr
 11260.787      0.1597   Kr
#11262.240      0.0000   Kr close to stronger 11260.787
 11289.672      0.0082   Kr
 11460.614      0.1572   Kr
 11795.640      0.0425   Kr
 11822.614      1.0000   Kr
#
# START: GA37.0_CA74.0
#
 12000.385      0.3016   Kr
 12080.520      0.0951   Kr
 12121.110      0.1022   Kr
 12126.870      0.0604   Kr
 12160.170      0.0066   Kr
 12207.875      1.0000   Kr
 12232.750      0.0100   Kr
 12243.910      0.0063   Kr
 12324.450      0.0318   Kr
#
# END: GA33.5_CA67.0
#
 12601.330      0.0430   Kr
 12786.020      0.1417   Kr
 12828.590      0.0164   Kr
 12865.410      0.1447   Kr
 12882.260      0.8402   Kr
 12988.870      0.0322   Kr
 13025.970      0.0558   Kr
#
# START: GA41.0_CA82.0
#
 13181.015      0.5732   Kr
 13193.726      0.0077   Kr
 13214.280      0.0135   Kr
 13244.310      0.0539   Kr
 13307.940      0.0091   Kr
 13341.530      0.0481   Kr
#
# END: GA37.0_CA74.0
#
 13626.141      0.3084   Kr
 13637.949      1.0000   Kr
 13662.120      0.1131   Kr
 13714.770      0.0270   Kr
 13742.612      0.1736   Kr
 13836.660      0.0092   Kr
 13886.650      0.0318   Kr
 13927.850      0.0491   Kr
 13942.810      0.0142   Kr
 13977.880      0.0156   Kr
 14049.503      0.0079   Kr
 14108.150      0.0176   Kr
 14160.490      0.0351   Kr
#
# START: GA45.0_CA90.0
#
 14345.170      0.0000   Kr
 14351.400      0.1647   Kr
 14406.220      0.0354   Kr
 14430.736      0.5108   Kr
#
# END: GA41.0_CA82.0
#
 14472.810      0.0195   Kr
 14738.469      0.9500   Kr
 14766.720      0.2061   Kr
 14769.520      0.0000   *Kr
 14965.980      0.1075   Kr
 14977.830      0.0000   Kr
 15009.440      0.0290   Kr
 15213.700      0.0000   Kr
 15243.787      1.0000   Kr
 15330.670      0.0000   Kr
 15339.158      0.6099   Kr
 15376.242      0.2635   Kr
 15437.850      0.0068   Kr
 15478.261      0.0523   Kr
#
# END: GA45.0_CA90.0
# START: GA50.0_CA100.0
#
 15639.250      0.0001   Kr                                     NIST & NIRSPEC
 15685.280      0.0200   Kr                                     NIST & NIRSPEC
#15691.070      0.0000   Kr too weak                            NIST & NIRSPEC
 15775.750      0.0001   Kr                                     NIST & NIRSPEC
 15824.412      0.0100   Kr                                     NIST & NIRSPEC
#15827.180      0.0000   Kr close to stronger Kr 15824.412      NIST & NIRSPEC
 15895.020      0.0050   Kr                                     NIST & NIRSPEC
 15930.130      0.0001   Kr                                     NIST & NIRSPEC
#16056.700      0.0001   Kr too weak                            NIST & NIRSPEC
#16090.500      0.0001   Kr too weak                            NIST only
 16113.730      0.0001   Kr                                     NIST & NIRSPEC
#16248.740      0.0001   Kr too weak                            NIST & NIRSPEC
 16319.715      0.0001   Kr                                     NIST & NIRSPEC
 16351.390      0.0001   Kr                                     NIST & NIRSPEC
 16470.370      0.0001   Kr                                     NIST & NIRSPEC
 16567.400      0.1000   Kr                                     NIST only
 16577.580      0.0001   Kr                                     NIST & NIRSPEC
#
# END: GA50.0_CA100.0
#
 16731.100      0.0001   Kr
 16789.718      0.0001   Kr
 16858.102      0.0001   Kr
 16895.067      0.0001   Kr
 16901.380      0.0001   Kr
 16940.439      0.0001   Kr
#
 17000.000      0.0000   dummy line to improve last real line
# ---------------------------------------------------------------------------- #
