#
# Neon (Ne) Spectral Lines
#
# NOTES: The relative intensities retrieved from NIST Atomic Spectra Database
#        were adjusted for the SALT calsys intensities OR TO GET GOOD FIT.
#        The intesity of a line in chip gap, on edge of chip gap or edge of
#        frame is set as zero. Lines with zero intensity will not be fitted.
#
# ---------------------------------------------------------------------------- #
#   Lambda   Intensity   Comment
# ---------------------------------------------------------------------------- #
#
  7500.000      0.0000   dummy line to improve first real line
#
  7537.849      0.0001   Ne
  7546.121      0.0001   Ne
  7841.209      0.0001   Ne
  7945.365      0.0001   Ne
#
# START: GA25.0_CA50.0
#
  8138.643      0.0144   Ne
  8261.650      0.0000   Ne
  8268.349      0.0134   Ne
  8302.606      0.0785   Ne
  8368.046      0.0000   Ne
  8379.909      0.4630   Ne
  8420.740      0.0578   Ne
  8465.682      0.0116   Ne
  8486.774      0.0061   Ne
  8497.693      0.3611   Ne
  8547.043      0.0111   Ne
  8573.708      0.0183   Ne
  8593.618      0.1896   Ne
  8637.019      0.1925   Ne
  8649.416      0.0326   Ne
  8656.760      0.5024   Ne
#
# START: GA27.0_CA54.0
#
# 8681.877      0.0000   Ne blended
# 8684.306      0.0000   Ne blended
  8774.066      0.1132   Ne
  8783.034      0.9615   Ne
  8856.298      0.4750   Ne
  8868.191      0.2898   Ne
  8921.950      0.1497   Ne
  8991.024      0.0357   Ne
  9151.183      0.3978   Ne
  9204.284      0.3088   Ne
  9222.590      0.2711   Ne
  9278.064      0.0254   Ne
  9303.405      0.3010   Ne
  9316.529      0.1080   Ne
  9329.066      0.2808   Ne
  9375.880      0.0545   Ne
  9427.966      0.2125   Ne
  9461.806      0.1133   Ne
  9489.285      0.1488   Ne
  9536.779      0.2706   Ne
  9550.024      0.1290   Ne
#
# START: GA29.5_CA59.0
#
  9668.071      0.9821   Ne
#
# END: GA25.0_CA50.0
#
 10298.238      0.0367   Ne
#
# END: GA27.0_CA54.0
#
 10565.303      1.0000   Ne
 10623.574      0.0844   Ne
 10769.036      0.0296   Ne
 10783.484      0.0205   Ne
 10801.001      0.6277   Ne
#10809.318      0.0000   Ne close to stronger 10801.001
#10811.089      0.0000   Ne blended
#10817.717      0.0000   Ne close to stronger 10822.783
 10822.783      0.0232   Ne
 10847.448      0.9038   Ne
#10889.259      0.0000   Ne blended
#
# START: GA33.5_CA67.0
#
 10891.374      0.0041   Ne
 11023.898      0.0019   Ne
 11052.748      0.0040   Ne
#
# END: GA29.5_CA59.0
#
#11141.483      0.0000   Ne close to stronger 11146.072
 11146.072      0.3515   Ne
 11163.270      0.0054   Ne
 11180.586      0.6640   Ne
 11296.057      0.0000   Ne weak
 11306.983      0.0050   Ne blended
#11307.641      0.0000   Ne close to stronger 11306.983
 11369.784      0.0022   Ne
 11393.552      0.1471   Ne
 11412.258      0.1027   Ne
 11525.900      1.0000   Ne blended
#11528.176      0.0000   Ne close to stronger 11306.983
 11539.503      0.1214   Ne
 11604.713      0.0261   Ne
 11617.260      0.1264   Ne
 11691.202      0.0309   Ne
 11770.014      0.1312   Ne
 11792.271      0.1167   Ne blended
#11793.117      0.0000   Ne close to stronger 11792.271
#
# START: GA37.0_CA74.0
#
 11988.194      0.3108   Ne
 12069.636      1.0000   Ne
#
# END: GA33.5_CA67.0
#
 12462.799      0.2309   Ne
 12490.148      0.0487   Ne
#12574.445      0.0000   Ne
#12588.045      0.0000   Ne blended
#12590.869      0.0000   Ne blended
 12598.451      0.1028   Ne
 12607.626      0.0921   Ne
 12621.121      0.0221   Ne
#12643.775      0.0000   Ne close to stronger Ne 12646.198
 12646.198      0.0001   Ne FIT LAST!
 12654.443      0.0454   Ne
 12661.809      0.0545   Ne
#12687.003      0.0000   Ne close to stronger Ne 12692.675
 12692.675      0.3538   Ne
#12722.276      0.0000   Ne too weak
#12749.713      0.0000   Ne blended
#12752.612      0.0000   Ne blended
#12756.211      0.0000   Ne blended
#12759.140      0.0000   Ne blended
#12763.440      0.0000   Ne blended
 12773.018      0.0864   Ne
 12915.546      0.4342   Ne
#
# START: GA41.0_CA82.0
#
 13149.041      0.0000   Ne too weak
 13222.858      1.0000   Ne
#13343.362      0.0000   Ne too weak
#
# END: GA37.0_CA74.0
#
#13392.952      0.0000   Ne too weak
#13530.772      0.0000   Ne too weak
#13588.803      0.0000   Ne too weak
#13742.491      0.0000   Ne too weak
#13870.096      0.0000   Ne too weak
#13911.976      0.0000   Ne too weak
#13974.792      0.0000   Ne too weak
#14016.752      0.0000   Ne too weak
#14019.732      0.0000   Ne too weak
#14046.946      0.0000   Ne too weak
#14077.958      0.0000   Ne too weak
#
# START: GA45.0_CA90.0
#
 14287.508      0.0047   Ne
 14304.743      0.0066   Ne
 14346.081      0.0182   Ne
 14357.273      0.0045   Ne
 14388.045      0.0000   Ne too weak
#
# END: GA41.0_CA82.0
#
 14503.885      0.0000   Ne too weak
 14933.886      0.0353   Ne
#14935.264      0.0000   Ne too weak
 14974.865      0.0719   Ne
#14988.949      0.0000   Ne close to stronger Ne 14990.415
 14990.415      0.1663   Ne
#15063.105      0.0000   Ne too weak
 15078.288      0.1101   Ne
#15079.163      0.0000   Ne close to stronger Ne 15078.288
#15088.034      0.0000   Ne close to stronger Ne 15089.433
 15089.433      0.0590   Ne
#15110.582      0.0000   Ne too weak
#15129.862      0.0000   Ne too weak
 15144.236      0.1070   Ne
#15176.111      0.0000   Ne close to stronger Ne 15178.458
 15178.458      0.0144   Ne
#15180.482      0.0000   Ne close to stronger Ne 15178.458
#15193.875      0.0000   Ne close to stronger Ne 15195.083
#15194.763      0.0000   Ne close to stronger Ne 15195.083
 15195.083      0.1307   Ne
#15196.788      0.0000   Ne close to stronger Ne 15195.083
 15234.877      1.0000   Ne
 15352.384      0.0410   Ne
 15374.280      0.0222   Ne
#15394.233      0.0000   Ne too weak
 15411.803      0.0579   Ne
 15455.451      0.0299   Ne
 15470.453      0.0258   Ne
#
# END: GA45.0_CA90.0
# START: GA50.0_CA100.0
#
 15608.478      0.0001   Ne
 15765.356      0.0001   Ne
 15806.965      0.0001   Ne
 15816.501      0.0001   Ne
 16027.147      0.0001   Ne
 16049.882      0.0001   Ne
 16102.884      0.0001   Ne
 16257.112      0.0001   Ne
#16268.035      0.0001   Ne use Ne 16268.691
 16268.691      0.0001   Ne
#16272.797      0.0001   Ne use Ne 16273.400
 16273.400      0.0001   Ne
 16351.388      0.0001   Ne
 16409.737      0.0001   Ne
 16428.149      0.0001   Ne
 16473.492      0.0001   Ne
 16479.254      0.0001   Ne
 16532.602      0.0001   Ne
 16596.041      0.0001   Ne
#16611.556      0.0001   Ne too weak
#16613.976      0.0000   Ne too weak
 16638.594      0.0001   Ne
 16671.664      0.0001   Ne
#
# END: GA50.0_CA100.0
#
 16793.378      0.0001   Ne
 16866.255      0.0001   Ne
 16914.677      0.0001   Ne
#
 17000.000      0.0000   dummy line to improve last real line
# ---------------------------------------------------------------------------- #
